t,aerospike,bell
8.41,2906.422079,2782.496481
8.42,2913.356323,2789.138367
8.43,2920.298855,2795.788181
8.44,2927.249674,2802.445925
8.45,2934.208782,2809.111598
8.46,2941.17618,2815.785202
8.47,2948.151868,2822.466737
8.48,2955.135847,2829.156204
8.49,2962.128118,2835.853603
8.5,2969.128682,2842.558934
8.51,2976.137539,2849.272199
8.52,2983.15469,2855.993398
8.53,2990.180136,2862.722532
8.54,2997.213879,2869.459601
8.55,3004.255918,2876.204606
8.56,3011.306254,2882.957547
8.57,3018.36489,2889.718425
8.58,3025.431824,2896.487241
8.59,3032.507059,2903.263996
8.6,3039.590594,2910.04869
8.61,3046.682432,2916.841324
8.62,3053.782573,2923.641898
8.63,3060.891017,2930.450413
8.64,3068.007766,2937.26687
8.65,3075.13282,2944.091269
8.66,3082.266181,2950.923612
8.67,3089.407849,2957.763898
8.68,3096.557826,2964.612129
8.69,3103.716111,2971.468306
8.7,3110.882707,2978.332429
8.71,3118.057614,2985.204498
8.72,3125.240833,2992.084515
8.73,3132.432366,2998.97248
8.74,3139.632212,3005.868394
